,Date,Time,frame_numbers,std_frames,min_displacements,max_displacements,mean_displacement,shift_list_x,shift_list_y,latency_times
0,2024-08-08,08:56:40,0,0.0,0.0,0.0,0.0,-1.2572861233984365,-0.9009403037505561,0.7158521579742432
1,2024-08-08,08:56:42,1,0.0,0.0,0.0,0.0,0.19748258236168428,0.1556301829745026,0.7485371994018555
2,2024-08-08,08:56:44,2,0.0,0.0,0.0,0.0,-0.02587130994384843,-0.01711769259500569,0.8279670642852783
3,2024-08-08,08:56:47,3,0.0,0.0,0.0,0.0,1.1584835527058877,0.8396732325695143,0.98411311378479
4,2024-08-08,08:56:49,4,0.0,0.0,0.0,0.0,-1.1524524487552454,-0.9058814072916477,0.7499054836273193
5,2024-08-08,08:56:51,5,0.0,0.0,0.0,0.0,0.4894563035736477,0.3311661982185825,0.8038748668670654
6,2024-08-08,08:56:53,6,0.0,0.0,0.0,0.0,-0.11087157595087378,-0.286796630176935,1.0121184753417969
7,2024-08-08,08:56:55,7,0.0,0.0,0.0,0.0,-0.17458019801701324,-0.11582606832433123,0.681742565536499
8,2024-08-08,08:56:58,8,0.0,0.0,0.0,0.0,-0.07795009034245103,-0.02819963587061476,0.6746589111328125
9,2024-08-08,08:57:01,9,0.0,0.0,0.0,0.0,0.01077628002164774,0.05891161919017333,1.0555139945983887
10,2024-08-08,08:57:04,10,0.0,0.0,0.0,0.0,0.06069811667805481,0.03036489330317925,0.674859659576416
11,2024-08-08,08:57:07,11,0.0,0.0,0.0,0.0,0.3542959371062481,0.30329678668020327,0.6926556991577149
12,2024-08-08,08:57:10,12,0.0,0.0,0.0,0.0,-0.010014822113717348,-0.006027442483702352,0.901776449584961
13,2024-08-08,08:57:13,13,0.0,0.0,0.0,0.0,0.04596882814442391,0.09311784988359678,0.6887728141784668
14,2024-08-08,08:57:15,14,0.0,0.0,0.0,0.0,-0.3296063010294082,-0.2736372032367925,0.6616674827575684
15,2024-08-08,08:57:18,15,0.0,0.0,0.0,0.0,0.016648608979510603,0.010177894079559784,0.9261645244598389
16,2024-08-08,08:57:21,16,0.0,0.0,0.0,0.0,0.16234443136224844,0.07212980187921893,0.6746326850891113
17,2024-08-08,08:57:24,17,0.0,0.0,0.0,0.0,-0.14220186725599193,-0.08462808466728235,0.7308415340423584
18,2024-08-08,08:57:27,18,0.0,0.0,0.0,0.0,-0.015287297037120803,-0.008084681751192485,0.6919897960662842
19,2024-08-08,08:57:29,19,0.0,0.0,0.0,0.0,-0.06522382602410155,-0.06810167975856286,0.6705564426422119
20,2024-08-08,08:57:32,20,0.0,0.0,0.0,0.0,0.0063805541841568374,0.012186520197941156,0.6679536270141602
21,2024-08-08,08:57:35,21,0.0,0.0,0.0,0.0,0.09369734992238798,0.06667626593889292,0.6944819854736328
22,2024-08-08,08:57:38,22,0.0,0.0,0.0,0.0,0.010669968791027698,-0.004182883327292707,0.6977707313537598
23,2024-08-08,08:57:40,23,0.0,0.0,0.0,0.0,0.3495524017647075,0.3734228101764789,0.7082210945129395
24,2024-08-08,08:57:43,24,0.0,0.0,0.0,0.0,0.06428510959888355,0.06000184031493329,0.8830241130828858
25,2024-08-08,08:57:46,25,0.0,0.0,0.0,0.0,-0.24349099342973463,-0.13942831589246765,0.678376095199585
26,2024-08-08,08:57:49,26,0.0,0.0,0.0,0.0,-0.06399098706273619,-0.041767183118290474,0.6895927356719971
27,2024-08-08,08:57:51,27,0.0,0.0,0.0,0.0,-0.020170227684225796,-0.03515115789135375,0.6887017654418945
28,2024-08-08,08:57:54,28,0.0,0.0,0.0,0.0,0.005235345938996451,0.0022353239664441825,0.6825233863830567
29,2024-08-08,08:57:57,29,0.0,0.0,0.0,0.0,-0.10412031647199815,-0.11451801172402626,0.6813253330230713
30,2024-08-08,08:58:00,30,0.0,0.0,0.0,0.0,-0.03223287229298221,-0.03739763861629651,0.683097021484375
31,2024-08-08,08:58:02,31,0.0,0.0,0.0,0.0,-0.13747872125531557,-0.03549440006368478,0.6799179481506348
32,2024-08-08,08:58:05,32,0.0,0.0,0.0,0.0,0.003728801994512198,-0.013965275795714386,0.698480265045166
33,2024-08-08,08:58:08,33,0.0,0.0,0.0,0.0,0.08095655405485068,0.06273344447498926,0.6770488189697266
34,2024-08-08,08:58:11,34,0.0,0.0,0.0,0.0,0.1279505338434919,0.07778153780705277,0.7443725036621094
35,2024-08-08,08:58:14,35,0.0,0.0,0.0,0.0,0.16613367310037905,0.13482828410885767,0.7421318458557129
36,2024-08-08,08:58:17,36,0.0,0.0,0.0,0.0,-0.16394011691104488,-0.09136105024721414,0.7517181800842285
37,2024-08-08,08:58:20,37,0.0,0.0,0.0,0.0,-0.4240427876888948,-0.2737691782932071,0.6802586483001709
38,2024-08-08,08:58:22,38,0.0,0.0,0.0,0.0,-0.04849552614288188,0.1289096959403782,0.7181345390319824
39,2024-08-08,08:58:25,39,0.0,0.0,0.0,0.0,-0.04534345791331981,-0.012252082478076735,0.7295061515808106
40,2024-08-08,08:58:28,40,0.0,0.0,0.0,0.0,0.1891469095761097,0.15528074104949408,0.6990074085235596
41,2024-08-08,08:58:31,41,0.0,0.0,0.0,0.0,0.21191691955330855,0.1270393679430947,0.6777621673583984
42,2024-08-08,08:58:34,42,0.0,0.0,0.0,0.0,0.014254985331349725,0.0032010629305717565,0.697508232498169
43,2024-08-08,08:58:37,43,0.0,0.0,0.0,0.0,0.09544127863659632,0.051169056325353436,0.6855722831726074
44,2024-08-08,08:58:39,44,0.0,0.0,0.0,0.0,-0.1046026021766368,-0.09249217828977237,0.686428205871582
45,2024-08-08,08:58:42,45,0.0,0.0,0.0,0.0,-0.19186637782582835,-0.1866276490839611,0.7056633399963379
46,2024-08-08,08:58:45,46,0.0,0.0,0.0,0.0,-0.08302627126121613,-0.06492407865384277,0.6781040596008301
47,2024-08-08,08:58:47,47,0.0,0.0,0.0,0.0,-0.0772093293025815,-0.09024006850162174,0.6705242561340332
48,2024-08-08,08:58:50,48,0.0,0.0,0.0,0.0,-0.05185957394380261,-0.03221499055039762,0.7160850929260254
49,2024-08-08,08:58:53,49,0.0,0.0,0.0,0.0,-0.32926891685775134,-0.3379269331038949,0.8152266906738281
50,2024-08-08,08:58:56,50,0.0,0.0,0.0,0.0,0.04697172294966089,0.03086026837121847,0.6697122024536133
51,2024-08-08,08:58:58,51,0.0,0.0,0.0,0.0,0.08250403834817781,0.06714807613865609,0.6701749729156494
52,2024-08-08,08:59:01,52,0.0,0.0,0.0,0.0,0.09362490996261512,0.046692752922773806,0.8737985061645508
53,2024-08-08,08:59:04,53,0.0,0.0,0.0,0.0,-0.07351709036025375,-0.02631657072939328,0.696076290512085
54,2024-08-08,08:59:07,54,0.0,0.0,0.0,0.0,0.036624133702471126,0.021254266657964906,0.6762246059417725
55,2024-08-08,08:59:10,55,0.0,0.0,0.0,0.0,0.004778367411878333,-0.012390190493899127,0.6812488006591797
56,2024-08-08,08:59:13,56,0.0,0.0,0.0,0.0,0.130930118035386,0.04861747504192306,0.7039805816650391
57,2024-08-08,08:59:15,57,0.0,0.0,0.0,0.0,0.14817851902942739,0.12753036109471547,0.684812919998169
58,2024-08-08,08:59:18,58,0.0,0.0,0.0,0.0,-0.303212916506469,-0.2195929975100717,0.6578668521881104
59,2024-08-08,08:59:21,59,0.0,0.0,0.0,0.0,-0.22257589967598118,-0.15170216524781088,0.6937238143920899
60,2024-08-08,08:59:24,60,0.0,0.0,0.0,0.0,-0.010430733568337219,-0.026693572513432906,0.7542900012969971
61,2024-08-08,08:59:27,61,0.0,0.0,0.0,0.0,0.12202016431056567,0.1478344162637903,0.6769780086517334
62,2024-08-08,08:59:30,62,0.0,0.0,0.0,0.0,-0.15879277142391682,-0.11968464752725351,0.6644138263702393
63,2024-08-08,08:59:32,63,0.0,0.0,0.0,0.0,0.04578296085494643,0.015549183229768478,0.7035724090576172
64,2024-08-08,08:59:35,64,0.0,0.0,0.0,0.0,0.10173890163495986,0.07224779315300489,1.0159346031188965
65,2024-08-08,08:59:38,65,0.0,0.0,0.0,0.0,0.09117527525119747,0.06004708872343168,0.724633829498291
66,2024-08-08,08:59:40,66,0.0,0.0,0.0,0.0,-0.005661989659854487,-0.0059091954397777775,0.7826177047729492
67,2024-08-08,08:59:43,67,0.0,0.0,0.0,0.0,0.09012151940692885,0.10115544854917091,0.7283424304962158
68,2024-08-08,08:59:46,68,0.0,0.0,0.0,0.0,-0.027580572177177527,0.011261830485555702,0.7602919506072998
69,2024-08-08,08:59:49,69,0.0,0.0,0.0,0.0,-0.00870864369189828,0.025455785667351575,0.724687712097168
70,2024-08-08,08:59:51,70,0.0,0.0,0.0,0.0,0.030275319995904874,0.049162781695893935,0.7267266677856445
71,2024-08-08,08:59:53,71,0.0,0.0,0.0,0.0,0.026261269602966143,0.016187960730135446,0.8014859127044678
72,2024-08-08,08:59:55,72,0.0,0.0,0.0,0.0,-0.29478042147839084,-0.3269629291785591,0.7753545211791992
73,2024-08-08,08:59:58,73,0.0,0.0,0.0,0.0,0.16606281961116098,0.11791742773423887,1.0358923839569092
74,2024-08-08,09:00:00,74,0.0,0.0,0.0,0.0,0.038896847585189,0.031324956099347774,0.7843977378845215
