,Date,Time,frame_numbers,std_frames,min_displacements,max_displacements,mean_displacement,shift_list_x,shift_list_y,latency_times
0,2024-07-25,21:00:25,0,0.0,0.0,0.0,0.0,-0.026919564385933188,-0.040585882802938934,0.8272181915283203
1,2024-07-25,21:00:29,1,0.0,0.0,0.0,0.0,-0.035976064124212455,-0.009651612699571174,1.382278339767456
2,2024-07-25,21:00:32,2,0.0,0.0,0.0,0.0,-0.5389316734184966,-0.5298743846514298,0.7919255661010742
3,2024-07-25,21:00:36,3,0.0,0.0,0.0,0.0,-0.05015064916783797,-0.02891984289949796,1.7479721473693848
4,2024-07-25,21:00:39,4,0.0,0.0,0.0,0.0,-0.045937907930962356,-0.0017953739447060283,0.8035468029022217
5,2024-07-25,21:00:42,5,0.0,0.0,0.0,0.0,-0.13409711597528898,-0.1332064059424623,1.3985482620239258
6,2024-07-25,21:00:46,6,0.0,0.0,0.0,0.0,-0.015519099898605119,-0.009515610768642851,0.8294228481292725
7,2024-07-25,21:00:49,7,0.0,0.0,0.0,0.0,0.0024844436160586405,0.02234238759085624,1.4726401733398438
8,2024-07-25,21:00:52,8,0.0,0.0,0.0,0.0,-0.008898222790906444,0.017866893067318732,0.8195597099304199
9,2024-07-25,21:00:56,9,0.0,0.0,0.0,0.0,-0.012336277069464363,0.0010136723729743586,1.246641771697998
10,2024-07-25,21:00:59,10,0.0,0.0,0.0,0.0,0.035344038200119186,0.043671941164427235,1.2901507781982422
11,2024-07-25,21:01:02,11,0.0,0.0,0.0,0.0,-0.19789589068313504,-0.1578823509931328,0.7922495769500733
12,2024-07-25,21:01:05,12,0.0,0.0,0.0,0.0,0.017250598236093585,-0.0064847744294958725,0.7624181674957276
13,2024-07-25,21:01:09,13,0.0,0.0,0.0,0.0,0.024100258265084596,0.04162085471790615,1.3604756759643555
14,2024-07-25,21:01:12,14,0.0,0.0,0.0,0.0,0.01691247926823621,0.0183315081733265,0.7810479568481445
15,2024-07-25,21:01:15,15,0.0,0.0,0.0,0.0,-0.036856513232132175,-0.009884200953556068,0.8093825744628906
16,2024-07-25,21:01:18,16,0.0,0.0,0.0,0.0,-0.1608741222201936,-0.11299199831369737,0.7915791439056397
17,2024-07-25,21:01:21,17,0.0,0.0,0.0,0.0,0.10553586522542757,0.07762302119586843,0.7951532768249512
18,2024-07-25,21:01:23,18,0.0,0.0,0.0,0.0,0.04872624625226448,0.0007606584356339527,0.8338869976043701
19,2024-07-25,21:01:27,19,0.0,0.0,0.0,0.0,-0.10062101557422062,-0.06290037765648185,0.8850220607757568
