,Date,Time,frame_numbers,std_frames,min_displacements,max_displacements,mean_displacement,shift_list_x,shift_list_y,latency_times
0,2024-06-11,02:24:00,0,0.0,0.0,0.0,0.0,7.183022729872204e-12,5.4612745352690454e-12,0.881240503692627
1,2024-06-11,02:24:03,1,0.0,0.0,0.0,0.0,7.183022729872204e-12,5.4612745352690454e-12,0.8865169452667236
2,2024-06-11,02:24:07,2,0.0,0.0,0.0,0.0,7.183022729872204e-12,5.4612745352690454e-12,0.8266967700958252
3,2024-06-11,02:24:10,3,0.0,0.0,0.0,0.0,7.183022729872204e-12,5.4612745352690454e-12,0.8400017189025879
4,2024-06-11,02:24:13,4,0.0,0.0,0.0,0.0,7.183022729872204e-12,5.4612745352690454e-12,0.8918963836669922
5,2024-06-11,02:24:16,5,0.0,0.0,0.0,0.0,7.183022729872204e-12,5.4612745352690454e-12,0.9571544097900391
6,2024-06-11,02:24:19,6,0.0,0.0,0.0,0.0,-0.0003877513149974622,0.0004947191086986146,0.946907417678833
7,2024-06-11,02:24:22,7,0.0,0.0,0.0,0.0,-0.8137604292125271,-0.5558170350367576,0.8888272212982178
