"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AY1","AY2","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"36871099999","2019-01-01T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","001600,1,9,9","-0056,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/16 /0901 11056 2//// 3//// 4//// 5////=",
"36871099999","2019-01-01T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","000900,1,9,9","-0055,1","+9999,9","99999,9",,"0001,3,1,000050,9,9",,,,,,,,"SYN08036871 36/09 /0000 11055 2//// 3//// 4//// 5//// 333 4/997 55000 555 21057 7000/=",
"36871099999","2019-01-01T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","100,1,N,0010,1","99999,9,9,N","002700,1,9,9","-0047,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 36/27 /1001 11047 2//// 3//// 4//// 5////=",
"36871099999","2019-01-01T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","003100,1,9,9","-0044,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/31 /1401 11044 2//// 3//// 4//// 5////=",
"36871099999","2019-01-01T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0043,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/// /0000 11043 2//// 3//// 4//// 5////=",
"36871099999","2019-01-01T15:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","003700,1,9,9","-0047,1","+9999,9","99999,9",,,,,"240,M,-0042,1",,,,,"SYN05836871 36/37 /0000 11047 2//// 3//// 4//// 5//// 333 11042=",
"36871099999","2019-01-01T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0051,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/// /0000 11051 2//// 3//// 4//// 5////=",
"36871099999","2019-01-02T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","040,1,N,0010,1","99999,9,9,N","002200,1,9,9","-0053,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/22 /0401 11053 2//// 3//// 4//// 5////=",
"36871099999","2019-01-02T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0049,1","+9999,9","99999,9",,"0001,3,1,000050,9,9",,,,,,,,"SYN08036871 36/// /0000 11049 2//// 3//// 4//// 5//// 333 4/997 55000 555 21055 7000/=",
"36871099999","2019-01-02T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0012,1","-0004,1","10270,1",,,,,,"99999,9,09296,1",,,,"SYN04836871 46/60 /0000 10012 21004 39296 40270 5////=",
"36871099999","2019-01-02T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","002800,1,9,9","-0004,1","-0004,1","10287,1",,,,,,"99999,9,09306,1","2,1,010,1,+999,9",,,"SYN04836871 46/28 /0000 11004 21004 39306 40287 52010=",
"36871099999","2019-01-02T15:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","001000,1,9,9","-0025,1","+9999,9","99999,9",,,,,"240,M,+0022,1",,,,,"SYN05836871 36/10 /0000 11025 2//// 3//// 4//// 5//// 333 10022=",
"36871099999","2019-01-02T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","080,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0049,1","+9999,9","99999,9",,,,,"120,M,+0022,1",,,,,"SYN05836871 36/// /0801 11049 2//// 3//// 4//// 5//// 333 10022=",
"36871099999","2019-01-02T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","000100,1,9,9","-0042,1","-0042,1","10313,1",,,,,,"99999,9,09316,1",,,,"SYN04836871 46/01 /0000 11042 21042 39316 40313 5////=",
"36871099999","2019-01-03T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","002000,1,9,9","-0063,1","-0066,1","10318,1",,,,,,"99999,9,09313,1","7,1,003,1,+999,9",,,"SYN04836871 46/20 /0000 11063 21066 39313 40318 57003=",
"36871099999","2019-01-03T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","005000,1,9,9","-0075,1","+9999,9","99999,9",,"0001,3,1,000050,9,9",,,,,,,,"SYN08036871 36/50 /0000 11075 2//// 3//// 4//// 5//// 333 4/997 55003 555 21076 7000/=",
"36871099999","2019-01-03T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","003400,1,9,9","+0012,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 36/34 /0000 10012 2//// 3//// 4//// 5////=",
"36871099999","2019-01-03T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","040,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/// /0401 10014 2//// 3//// 4//// 5////=",
"36871099999","2019-01-03T15:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0052,1","+9999,9","99999,9",,,,,"240,M,+0014,1",,,,,"SYN05836871 36/// /0000 11052 2//// 3//// 4//// 5//// 333 10014=",
"36871099999","2019-01-03T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","003000,1,9,9","-0059,1","+9999,9","99999,9",,,,,"120,M,+0014,1",,,,,"SYN05836871 36/30 /0000 11059 2//// 3//// 4//// 5//// 333 10014=",
"36871099999","2019-01-03T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","009000,1,9,9","-0045,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/59 /0000 11045 2//// 3//// 4//// 5////=",
"36871099999","2019-01-04T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","011000,1,9,9","-0059,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/61 /0000 11059 2//// 3//// 4//// 5////=",
"36871099999","2019-01-04T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","005000,1,9,9","-0071,1","+9999,9","99999,9",,"0001,3,1,000050,9,9",,,,,,,,"SYN08036871 36/50 /2901 11071 2//// 3//// 4//// 5//// 333 4/997 55045 555 21071 7000/=",
"36871099999","2019-01-04T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","020,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0046,2","-0029,1","10166,1",,,,,,"99999,9,09213,1",,,,"SYN04836871 36/70 /0201 10046 21029 39213 40166 5////=",
"36871099999","2019-01-04T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","080,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0026,1","+0007,1","10169,1",,,,,,"99999,9,09210,1","7,1,003,1,+999,9",,,"SYN04836871 46/// /0801 10026 20007 39210 40169 57003=",
"36871099999","2019-01-04T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","080,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0011,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/// /0801 11011 2//// 3//// 4//// 5////=",
"36871099999","2019-01-04T15:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","080,1,N,0010,1","99999,9,9,N","003100,1,9,9","-0019,1","+9999,9","99999,9",,,,,"240,M,+0054,1",,,,,"SYN05836871 36/31 /0801 11019 2//// 3//// 4//// 5//// 333 10054=",
"36871099999","2019-01-04T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","130,1,N,0010,1","99999,9,9,N","002300,1,9,9","-0027,1","+9999,9","99999,9",,,,,"120,M,+0054,1",,,,,"SYN05836871 36/23 /1301 11027 2//// 3//// 4//// 5//// 333 10054=",
"36871099999","2019-01-04T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","070,1,N,0010,1","99999,9,9,N","002900,1,9,9","-0040,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/29 /0701 11040 2//// 3//// 4//// 5////=",
"36871099999","2019-01-05T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","001500,1,9,9","-0054,1","+9999,9","99999,9",,,,,,,,,,"SYN04836871 46/15 /0000 11054 2//// 3//// 4//// 5////=",
