"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AY1","AY2","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"36871099999","2020-07-16T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0292,1","+0118,1","09993,1",,,,,,"99999,9,09132,1","7,1,007,1,+999,9",,,"SYN04836871 46/70 /0000 10292 20118 39132 49993 57007=",
"36871099999","2020-07-16T15:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","004200,1,9,9","+0228,1","+0116,1","10016,1",,,,,"240,M,+0316,1","99999,9,09135,1","2,1,003,1,+999,9",,,"SYN05836871 36/42 /0000 10228 20116 39135 40016 52003 333 10316=",
"36871099999","2020-07-16T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","014000,1,9,9","+0202,1","+0103,1","10020,1",,,,,"120,M,+0316,1","99999,9,09131,1","7,1,004,1,+999,9",,,"SYN05836871 36/64 /0000 10202 20103 39131 40020 57004 333 10316=",
"36871099999","2020-07-16T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","019000,1,9,9","+0175,1","+0099,1","10021,1",,,,,,"99999,9,09124,1","7,1,007,1,+999,9",,,"SYN04836871 46/69 /0000 10175 20099 39124 40021 57007=",
"36871099999","2020-07-17T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","019000,1,9,9","+0162,1","+0101,1","10028,1",,,,,,"99999,9,09126,1","2,1,002,1,+999,9",,,"SYN04836871 46/69 /0000 10162 20101 39126 40028 52002=",
"36871099999","2020-07-17T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0293,2","+0105,1","09992,1",,,,,,"99999,9,09131,1","2,1,005,1,+999,9",,,"SYN08036871 36/70 /3201 10293 20105 39131 49992 52005 333 4/997 55070 555 20162 7000/=",
"36871099999","2020-07-17T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","350,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0332,1","+0065,1","09977,1",,,,,,"99999,9,09126,1","7,1,005,1,+999,9",,,"SYN04836871 36/70 /3501 10332 20065 39126 49977 57005=",
"36871099999","2020-07-17T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","060,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0357,1","+0051,1","09964,1",,,,,,"99999,9,09120,1","7,1,005,1,+999,9",,,"SYN04836871 46/70 /0601 10357 20051 39120 49964 57005=",
"36871099999","2020-07-17T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","020,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0344,1","+0067,1","09960,1",,,,,,"99999,9,09113,1","7,1,007,1,+999,9",,,"SYN04836871 46/70 /0201 10344 20067 39113 49960 57007=",
"36871099999","2020-07-17T15:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","007000,1,9,9","+0251,1","+0113,1","09997,1",,,,,"240,M,+0363,1","99999,9,09124,1","2,1,010,1,+999,9",,,"SYN05836871 36/57 /0000 10251 20113 39124 49997 52010 333 10363=",
"36871099999","2020-07-17T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","019000,1,9,9","+0283,1","+0064,1","10011,1",,,,,"120,M,+0363,1","99999,9,09144,1","2,1,020,1,+999,9",,,"SYN05836871 36/69 /0000 10283 20064 39144 40011 52020 333 10363=",
"36871099999","2020-07-17T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0232,1","+0103,1","10025,1",,,,,,"99999,9,09144,1","4,1,000,1,+999,9",,,"SYN04836871 46/70 /0000 10232 20103 39144 40025 54000=",
"36871099999","2020-07-18T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","018000,1,9,9","+0185,1","+0106,1","10048,1",,,,,,"99999,9,09151,1","2,1,007,1,+999,9",,,"SYN04836871 46/68 /0000 10185 20106 39151 40048 52007=",
"36871099999","2020-07-18T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","019000,1,9,9","+0261,1","+0149,1","10028,1",,"0001,3,1,000050,9,9",,,,"99999,9,09156,1","2,1,005,1,+999,9",,,"SYN08036871 36/69 /0000 10261 20149 39156 40028 52005 333 4/997 55064 555 20185 7000/=",
"36871099999","2020-07-18T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0345,1","+0097,1","09997,1",,,,,,"99999,9,09149,1","7,1,007,1,+999,9",,,"SYN04836871 36/70 /0000 10345 20097 39149 49997 57007=",
"36871099999","2020-07-18T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0326,1","+0095,1","09995,1",,,,,,"99999,9,09142,1","7,1,007,1,+999,9",,,"SYN04836871 46/70 /0000 10326 20095 39142 49995 57007=",
"36871099999","2020-07-18T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0320,1","+0083,1","09992,1",,,,,,"99999,9,09137,1","7,1,005,1,+999,9",,,"SYN04836871 46/70 /0000 10320 20083 39137 49992 57005=",
