"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230730T124315_20230730T124343_049653_05F87E_FF69","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49653","56","138","2023-07-30T12:43:43.678002Z","2023-07-30T12:43:15.751214Z","SLC","2023-07-30T12:43:15.751214Z","2023-07-30T12:43:43.678002Z","43.5316","77.8538","42.484753","76.520279","42.881592","79.602867","44.159908","76.068146","44.55666","79.240349","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230730T124315_20230730T124343_049653_05F87E_FF69.zip","4280.890978813171","None","None","0","S1A_IWDV_0138_0144_049653_056",""
"S1A_IW_SLC__1SDV_20230723T125124_20230723T125151_049551_05F559_448E","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49551","129","137","2023-07-23T12:51:51.374970Z","2023-07-23T12:51:24.428683Z","SLC","2023-07-23T12:51:24.428683Z","2023-07-23T12:51:51.374970Z","43.2164","75.8745","42.199474","74.543549","42.595459","77.604858","43.816048","74.110046","44.211868","77.256287","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230723T125124_20230723T125151_049551_05F559_448E.zip","4054.4571208953857","None","None","0","S1A_IWDV_0137_0143_049551_129",""
"S1A_IW_SLC__1SDV_20230718T124315_20230718T124343_049478_05F315_3EF2","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49478","56","138","2023-07-18T12:43:43.002731Z","2023-07-18T12:43:15.080055Z","SLC","2023-07-18T12:43:15.080055Z","2023-07-18T12:43:43.002731Z","43.5319","77.8543","42.485252","76.520737","42.882076","79.603333","44.16016","76.068665","44.5569","79.240868","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230718T124315_20230718T124343_049478_05F315_3EF2.zip","4281.759832382202","None","None","0","S1A_IWDV_0138_0144_049478_056",""
"S1A_IW_SLC__1SDV_20230711T125123_20230711T125150_049376_05F006_895F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49376","129","137","2023-07-11T12:51:50.658391Z","2023-07-11T12:51:23.710048Z","SLC","2023-07-11T12:51:23.710048Z","2023-07-11T12:51:50.658391Z","43.2167","75.8739","42.199738","74.54306","42.595745","77.60434","43.816437","74.109497","44.212276","77.255714","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230711T125123_20230711T125150_049376_05F006_895F.zip","4062.391583442688","None","None","0","S1A_IWDV_0137_0143_049376_129",""
"S1A_IW_SLC__1SDV_20230706T124314_20230706T124342_049303_05EDB2_E6B0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49303","56","138","2023-07-06T12:43:42.268842Z","2023-07-06T12:43:14.342055Z","SLC","2023-07-06T12:43:14.342055Z","2023-07-06T12:43:42.268842Z","43.532","77.8541","42.48518","76.520645","42.882011","79.603218","44.160339","76.068497","44.557083","79.240692","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230706T124314_20230706T124342_049303_05EDB2_E6B0.zip","4286.554484367371","None","None","0","S1A_IWDV_0138_0144_049303_056",""
"S1A_IW_SLC__1SDV_20230629T125122_20230629T125149_049201_05EA97_1436","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49201","129","137","2023-06-29T12:51:49.281322Z","2023-06-29T12:51:22.328867Z","SLC","2023-06-29T12:51:22.328867Z","2023-06-29T12:51:49.281322Z","43.2164","75.877","42.19936","74.546204","42.595329","77.607468","43.816307","74.112617","44.212109","77.25882","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230629T125122_20230629T125149_049201_05EA97_1436.zip","4050.4625310897827","None","None","0","S1A_IWDV_0137_0143_049201_129",""
"S1A_IW_SLC__1SDV_20230624T124313_20230624T124341_049128_05E851_A2C3","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49128","56","138","2023-06-24T12:43:41.642042Z","2023-06-24T12:43:13.715254Z","SLC","2023-06-24T12:43:13.715254Z","2023-06-24T12:43:41.642042Z","43.5319","77.8531","42.485085","76.519646","42.881943","79.602234","44.160236","76.067474","44.557011","79.239685","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230624T124313_20230624T124341_049128_05E851_A2C3.zip","4271.277048110962","None","None","0","S1A_IWDV_0138_0144_049128_056",""
"S1A_IW_SLC__1SDV_20230617T125122_20230617T125149_049026_05E54A_5D84","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49026","129","137","2023-06-17T12:51:49.136149Z","2023-06-17T12:51:22.181639Z","SLC","2023-06-17T12:51:22.181639Z","2023-06-17T12:51:49.136149Z","43.2163","75.8756","42.199223","74.544769","42.595165","77.606087","43.816292","74.111176","44.212067","77.257446","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230617T125122_20230617T125149_049026_05E54A_5D84.zip","4061.8153982162476","None","None","0","S1A_IWDV_0137_0143_049026_129",""
"S1A_IW_SLC__1SDV_20230612T124312_20230612T124340_048953_05E300_DEC0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","48953","56","138","2023-06-12T12:43:40.808205Z","2023-06-12T12:43:12.887584Z","SLC","2023-06-12T12:43:12.887584Z","2023-06-12T12:43:40.808205Z","43.5313","77.8539","42.484627","76.520302","42.881485","79.602928","44.159405","76.068237","44.556183","79.240463","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230612T124312_20230612T124340_048953_05E300_DEC0.zip","4269.151615142822","None","None","0","S1A_IWDV_0138_0144_048953_056",""
"S1A_IW_SLC__1SDV_20230605T125121_20230605T125148_048851_05DFF5_A008","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","48851","129","137","2023-06-05T12:51:48.000000","2023-06-05T12:51:21.000000","SLC","2023-06-05T12:51:21.000000","2023-06-05T12:51:48.000000","43.2156","75.8769","42.198555","74.54615","42.594479","77.607269","43.81551","74.112595","44.211266","77.258652","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230605T125121_20230605T125148_048851_05DFF5_A008.zip","4059.959951400757","None","None","0","S1A_IWDV_0137_0143_048851_129",""
