Date	Average
2016-11-12	0.0
2016-11-25	0.035692936064275316
2016-11-30	0.2431221381981369
2016-12-24	0.2767608990717155
2017-01-14	0.3003964907787683
2017-01-31	0.317754298575234
2017-02-24	0.3280594193907757
2017-03-02	0.4071395958455674
2017-03-17	0.42309421789148677
2017-04-09	0.445227375308734
2017-04-10	0.8083216481175637
2017-04-15	0.8302373740551461
2017-04-20	0.847303217492848
2017-04-23	0.9451716819539137
2017-04-28	0.9820410266081001
2017-05-01	1.0604634144022438
2017-05-14	1.1175736784474375
2017-05-16	1.6594560297416203
