latitude,longitude,altitude (m)
42.99447945,77.00105737,3332.7
42.99413382,77.00076609,3338.8
42.99375218,77.00042286,3357.8
42.99347274,77.00014719,3371.3
42.99309342,76.99980587,3394.5
42.99285101,76.99962979,3411.1
42.99255463,76.99928733,3438.2
42.99246245,76.99921276,3445.7
42.99215935,76.99888383,3476.2
42.9917988,76.99839992,3519.5
42.99175316,76.99836355,3523.8
42.99146083,76.99803279,3554.5
42.99118032,76.99782591,3579.6
42.99112346,76.9976701,3590.6
42.99091463,76.99747632,3611.8
42.99056646,76.99713212,3637.7
42.99036625,76.99688317,3655.4
42.98990502,76.99654923,3684.5
42.98961323,76.99636306,3690.1
42.98940622,76.99624977,3692.9
42.98902038,76.99607026,3696.5
42.98864322,76.99588284,3697.6
42.98832784,76.99571576,3696.5
42.98796365,76.99551782,3693.1
42.98780715,76.99543326,3693.1
42.98753578,76.99529962,3695.7
42.98709917,76.9950232,3712.3
42.98681716,76.99483397,3726.7
42.98642798,76.99459129,3744.4
42.98602579,76.99424017,3764.1
42.98585032,76.9941087,3775.9
42.98552657,76.99383209,3801.4
42.98524421,76.99359241,3826.4
42.98481958,76.99332084,3850.3
42.98449572,76.99316174,3850.4
42.98401941,76.99291753,3849.4
42.98383099,76.99273747,3850
42.98343573,76.99244603,3850.6
42.98327965,76.99236298,3850.3
42.98301945,76.99222453,3849.7
42.98261631,76.991936,3849.8
42.98243249,76.99175327,3850.1
42.98222698,76.99164106,3850.3
42.98184593,76.99134292,3859.2
42.98153461,76.99117586,3865.9
42.98127478,76.99092707,3874.5
42.98103508,76.9907808,3878.5
42.98088454,76.9906955,3880.5
42.98063496,76.99055304,3884.6
42.98038431,76.99041103,3889.2
42.98003348,76.9902124,3896.3
42.9797324,76.99004233,3901.1
42.97943142,76.98987232,3906.6
42.97916213,76.98969278,3914.4
42.97893092,76.9895456,3923.2
42.97870038,76.98939859,3932.9
42.97851662,76.98928102,3941.3
42.97826971,76.98920297,3949.7
42.9785221,76.98862306,3975.7
42.9786439,76.98833533,3987.3
42.97886787,76.98783087,4004.8
42.9789508,76.98761843,4011.2
42.97909968,76.98719822,4021.2
42.97919719,76.98691891,4026.7
42.97931974,76.98657,4032.9
42.97946792,76.98658871,4026
42.97959551,76.98667647,4018.2
42.97979412,76.98672311,4008.4
42.98019377,76.98698463,3990.4
