system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,LST,pixel_qa,radsat_qa,sr_aerosol,year,.geo
0,420.91577827493296,2945.797745366957,2939.653496306306,620.759320249205,990.7666309647426,1125.2534548932808,1997.8673730204666,2079.207933226636,1670.8543171065944,22.3394159970252,322.02468904345614,0.0,122.96767032715924,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,460.04618848361963,2945.979394962397,2942.91670839076,648.3743251274307,1026.714971336137,1141.1640260564882,2052.5405741368,2163.4614491900556,1710.0279604698865,22.355322142835043,322.00373767890244,0.0,169.28499318589823,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,461.52051474135715,2998.266542254429,2994.6830934718473,656.4267363862108,1031.5431418720057,1169.543871636667,2070.1753045204496,2234.4800656400957,1781.8781862886156,27.61622318035202,322.0,0.0,161.7536338849813,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,422.23649240796107,2949.0739505457695,2943.410505359011,622.1564031209898,999.3173235313084,1136.1798452836529,2073.574297802506,2201.71907605904,1754.565994395905,22.66313814782859,322.0022337930045,0.0,126.87406815791991,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,449.4565969181678,2972.735833928702,2958.6918396479537,657.8978803480114,1061.9725312580238,1191.125673554414,2313.382588635823,2337.623318720162,1819.009232618244,25.03663846139212,322.0241881902908,0.0,153.77042949026352,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,,,,,,,,,,,,,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,,,,,,,,,,,,,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
