"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AL1","AY1","AY2","GA1","GA2","GA3","GE1","GF1","IA1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"36870099999","2019-01-01T00:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0052,1","-0055,1","10332,1",,,,"7,1,02,1","5,1,02,1",,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,,"99999,9,09284,1","8,1,014,1,+999,9","45,1",,"SYN08036870 41/// 90000 11052 21055 39284 40332 58014 74575 333 93603 555 1/104 91102=",
"36870099999","2019-01-01T06:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","001000,1,9,9","-0051,1","-0076,1","10303,1","00,0003,3,1",,,"4,1,02,1","2,1,02,1","08,1,+00150,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00150,1,99,9,99,9",,"240,N,-0053,1","99999,9,09257,1","7,1,022,1,+999,9","10,1",,"SYN08236870 11294 80000 11051 21076 39257 40303 57022 69930 71042 886// 333 21053 93604=",
"36870099999","2019-01-01T09:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","001000,1,9,9","-0044,1","-0053,1","10283,1",,,,"2,1,02,1","2,1,02,1","08,1,+00150,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00150,1,99,9,99,9",,,"99999,9,09243,1","7,1,014,1,+999,9","10,1",,"SYN07036870 41294 80000 11044 21053 39243 40283 57014 71022 886// 333 93604=",
"36870099999","2019-01-01T12:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","001000,1,9,9","-0042,1","-0052,1","10272,1",,,,"2,1,02,1","2,1,02,1","08,1,+00150,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00150,1,99,9,99,9",,,"99999,9,09233,1","7,1,010,1,+999,9","10,1",,"SYN07036870 41294 80000 11042 21052 39233 40272 57010 71022 886// 333 93604=",
"36870099999","2019-01-01T15:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0043,1","-0055,1","10264,1",,,,"2,1,02,1","2,1,02,1","08,1,+00150,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00150,1,99,9,99,9",,"240,M,-0040,1","99999,9,09226,1","7,1,007,1,+999,9","10,1",,"SYN07636870 312// 80000 11043 21055 39226 40264 57007 71022 886// 333 11040 93601=",
"36870099999","2019-01-01T18:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0045,1","-0054,1","10257,1",,,,"2,1,02,1","2,1,02,1","08,1,+00150,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00150,1,99,9,99,9",,"120,M,-0040,1","99999,9,09218,1","7,1,008,1,+999,9","10,1",,"SYN07636870 312// 80000 11045 21054 39218 40257 57008 71022 886// 333 11040 93604=",
"36870099999","2019-01-01T21:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0047,1","-0057,1","10263,1",,,,"2,1,02,1","2,1,02,1","08,1,+00150,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00150,1,99,9,99,9",,,"99999,9,09224,1","3,1,006,1,+999,9","10,1",,"SYN07036870 412// 80000 11047 21057 39224 40263 53006 71022 886// 333 93604=",
"36870099999","2019-01-02T00:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0048,1","-0058,1","10271,1",,,,"2,1,02,1","2,1,02,1","08,1,+00150,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00150,1,99,9,99,9",,,"99999,9,09230,1","2,1,006,1,+999,9","10,1",,"SYN08636870 412// 80000 11048 21058 39230 40271 52006 71022 886// 333 93604 555 1/104 91102=",
"36870099999","2019-01-02T03:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","004000,1,9,9","-0045,1","-0054,1","10300,1",,"0008,3,1,000800,9,9",,"2,1,02,1","2,1,02,1","08,1,+00450,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9","27,9",,"99999,9,09258,1","2,1,012,1,+999,9","10,1",,"SYN09836870 31496 80000 11045 21054 39258 40300 52012 71022 886// 333 43008 55000 93604 555 21049 7000/=",
"36870099999","2019-01-02T06:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0011,1","-0041,1","10278,1",,,,,,"05,1,+00450,1,07,1","99,9,+99999,9,05,1",,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00450,1,99,9,99,9",,"240,N,-0049,1","99999,9,09259,1","2,1,001,1,+999,9",,,"SYN06436870 32497 80000 10011 21041 39259 40278 52001 8562/ 333 21049=",
