"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AL1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","IA1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"36870099999","2022-01-01T00:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","+0009,1","-0083,1","10214,1",,,,,,,,"02,1,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,99999,9,99,9,99,9",,,"99999,9,09204,1","7,1,003,1,+999,9",,"3,99,0020,1,999","SYN07436870 429// 60000 10009 21083 39204 40214 57003 82031 333 91102 555 1/103=",
"36870099999","2022-01-01T03:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0014,1","-0093,1","10214,1",,"0004,3,1,000400,9,9",,,,,,"02,1,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,99999,9,99,9,99,9","23,9",,"99999,9,09206,1","3,1,002,1,+999,9",,,"SYN08636870 32998 80000 10014 21093 39206 40214 53002 82041 333 47004 55019 555 21004 7000/=",
"36870099999","2022-01-01T06:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0060,1","-0049,1","10197,1",,,,,,,,"06,1,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","07,99,1,06,1,99,9,99999,9,99,9,99,9",,"240,N,-0004,1","99999,9,09206,1","4,1,000,1,+999,9",,,"SYN06436870 32998 70000 10060 21049 39206 40197 54000 86031 333 21004=",
"36870099999","2022-01-01T09:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0069,1","-0059,1","10185,1",,,,,,,,"07,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,99999,9,99,9,99,9",,,"99999,9,09199,1","8,1,007,1,+999,9",,,"SYN05436870 42998 70000 10069 21059 39199 40185 58007 87030=",
"36870099999","2022-01-01T12:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","+0036,1","-0051,1","10205,1",,,,,,,,"08,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,99999,9,99,9,99,9",,,"99999,9,09205,1","3,1,006,1,+999,9",,,"SYN06436870 429// 80000 10036 21051 39205 40205 53006 8807/ 555 1/000=",
"36870099999","2022-01-01T15:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","+0042,1","-0066,1","10208,1",,,,,,,,"06,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9",,"240,M,+0073,1","99999,9,09210,1","2,1,005,1,+999,9",,,"SYN06436870 329// 60000 10042 21066 39210 40208 52005 86030 333 10073=",
"36870099999","2022-01-01T18:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","+0032,1","-0061,1","10208,1",,,,,,,,"05,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,99999,9,99,9,99,9",,"120,M,+0073,1","99999,9,09207,1","8,1,003,1,+999,9",,,"SYN06436870 329// 50000 10032 21061 39207 40208 58003 85030 333 10073=",
"36870099999","2022-01-01T21:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","22000,1,9,N","999999,9,9,9","+0002,1","-0068,1","10216,1",,,,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09204,1","7,1,008,1,+999,9",,,"SYN05436870 429// 20000 10002 21068 39204 40216 57008 80001=","Q01    003SCCGA1"
"36870099999","2022-01-02T00:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0008,1","-0074,1","10213,1",,,,,,,,,,,,,,,"99999,9,09197,1","7,1,007,1,+999,9",,"3,99,0010,1,999","SYN06836870 429// 00000 11008 21074 39197 40213 57007 333 91101 555 1/105=",
"36870099999","2022-01-02T03:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","-0017,1","-0059,1","10222,1",,"0003,3,1,000300,9,9",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9","26,9",,"99999,9,09203,1","3,1,006,1,+999,9",,,"SYN08636870 32998 80000 11017 21059 39203 40222 53006 80001 333 42003 55005 555 21019 7000/=","Q01    003SCCGA1"
